human_index	human_id	human_accession	gene_symbol	sequence_sha256
6107	sp|O43448|KCAB3_HUMAN	O43448	KCAB3	bf947ce9a46b0fdacf031d0e3642d018513fd23ca12800311b74f03d26388362
6108	sp|O43505|B4GA1_HUMAN	O43505	B4GA1	934d4d570f1a81cac853fd37e0601efb9e8fc9bb4b7c3294657976403bce21c9
6109	sp|O43903|GAS2_HUMAN	O43903	GAS2	16a0809c716fed3443c84609f3afda2d664ceea6c3406185e5b4117ddf725c56
6110	sp|O60237|MYPT2_HUMAN	O60237	MYPT2	c3be3650e89075520334560a84dc2a8a4b3105d2927b385854d8862b1f7f468f
6111	sp|O60245|PCDH7_HUMAN	O60245	PCDH7	474971f3b7fd2b670d48febee44bdad70c90f008febaaa98d4315f1f8b32029e
6112	sp|O60907|TBL1X_HUMAN	O60907	TBL1X	a0e3ea72eb68e619f077232bdf2965289e661968f4b29de1feb7799e3bf745d7
6113	sp|O75325|LRRN2_HUMAN	O75325	LRRN2	7a3d057b7ac3bbb244767fb8b2d912f3fd3311301b2b697d3ba7f33ba5adb861
6114	sp|O95398|RPGF3_HUMAN	O95398	RPGF3	a917bea6bf7812300e7d7bcc327e853ce85ac1a8a02fb04b8f89f816cc6e9ade
6115	sp|O95754|SEM4F_HUMAN	O95754	SEM4F	7a52e7fb8d4a29fda6a8cd6c0c9d2165b3188e1a7c9c23052c80ce6228492232
6116	sp|P01375|TNFA_HUMAN	P01375	TNFA	8625b8e5664220caffd8c457d023faa6156bab712d487986eaeab87c99b668e5
6117	sp|P01588|EPO_HUMAN	P01588	EPO	400768c3b082547834f139ae6313c65c5c59fb87025131143980e55ba12e3361
6118	sp|P08684|CP3A4_HUMAN	P08684	CP3A4	d98b2269ed529294b838f8aa92181c343c8be8aaa38704c019ad61866028ee6d
6119	sp|P09327|VILI_HUMAN	P09327	VILI	604ca1771db2a3c7914a914a7f1123f83189ae6c9d9a58e2862315bb59d6ce92
6120	sp|P0CB38|PAB4L_HUMAN	P0CB38	PAB4L	7ab3b950dc0ecff37b92e9707fe72ff4e1f2e33faa102bb60403c80f93778db2
6121	sp|P13473|LAMP2_HUMAN	P13473	LAMP2	2957fce4312004bd98332b74cddbe1e5d8a6a74ad81fd87b68c21dbe7402da3d
6122	sp|P13994|YJU2B_HUMAN	P13994	YJU2B	f2c4f9e430314a49746f7bdfe09d0982ae70812357745506cf192e37282645ef
6123	sp|P25800|RBTN1_HUMAN	P25800	RBTN1	a2e9fcc645890bbea9a9ebfa6c20b49a659e04871c0610fdb4fac40aa6c33de6
6124	sp|P32242|OTX1_HUMAN	P32242	OTX1	e8079d0e710f070b48964090197922230e7c3c18f14d213d251c3fc04af51213
6125	sp|P35237|SPB6_HUMAN	P35237	SPB6	0bc7dc2f5cf163bd57ddabb3d6eaab98ee52d87bb8fe3d68e38258795dd19950
6126	sp|P36915|GNL1_HUMAN	P36915	GNL1	f90bccb73d50f668a883c647568f6aa2922b0c5805e1d31465f4a142d3aafd31
6127	sp|P47804|RGR_HUMAN	P47804	RGR	a99bd8555fed191f65641a439df8e1194238691aa95dfe8990535d1d824a4b88
6128	sp|P48681|NEST_HUMAN	P48681	NEST	840fd2da229b1eed3b6f5ac281a2ba36e0677462196578a392bc713f62ef5978
6129	sp|P50548|ERF_HUMAN	P50548	ERF	5f04ee20e5e4efacb47b811eab5b30bd5e0a1059c7af0ef919ea9b81e7c79625
6130	sp|P51160|PDE6C_HUMAN	P51160	PDE6C	6fbf4d250e9b6471ab986a815c6b490c6e56bb19d6e25678b791bbf4f8091d0c
6131	sp|P51449|RORG_HUMAN	P51449	RORG	262c7bcde1c365985448d0e69a77135df1680783066e7f72dfb907bead316982
6132	sp|P57086|SCND1_HUMAN	P57086	SCND1	bbc4e59d9fdcfc2554da096c3dd963f94eec4d00d3da214eebbf1e69662f9122
6133	sp|P59542|T2R19_HUMAN	P59542	T2R19	dbdda69a7ce026ce18c242d13ebfc45f5f90c03c64344f701872e37e00209e8c
6134	sp|P62269|RS18_HUMAN	P62269	RS18	500b8e83a65787b467ffcfbb4329d1c6f6343fbad785c7e1dd252cbeeb83d86c
6135	sp|P62807|H2B1C_HUMAN	P62807	H2B1C	379176b09a0137ab6e8878ddc58c2ade3b4029374ae16b8f7a34d9d38630b48f
6136	sp|Q00526|CDK3_HUMAN	Q00526	CDK3	9c4ba426b4bb5839d7f3e266bb7de61f0d4ebb64f816e7be4618bda801832772
6137	sp|Q01453|PMP22_HUMAN	Q01453	PMP22	ee94995b827178fca16d1229d0d31460dcb47aba059fe1bbc3bcad028f8f8827
6138	sp|Q13227|GPS2_HUMAN	Q13227	GPS2	68cd46c3ab9d5240a7977c1fbd971271cf6110000e8b9d7f79cdbfa9181f4950
6139	sp|Q13261|I15RA_HUMAN	Q13261	I15RA	0ce2cc0479c780a0c64f646ac67b6f4c2517b53283ca08ef5eca72bc9c85e135
6140	sp|Q13796|SHRM2_HUMAN	Q13796	SHRM2	97915dec75dd85becb669a44ffd0042868668dfb7122c3bf7fb67875235c00f5
6141	sp|Q14656|TM187_HUMAN	Q14656	TM187	0021c2b35b796653296cc25bf5e9d4f316ba327d98ba940700f42649499dd634
6142	sp|Q15029|U5S1_HUMAN	Q15029	U5S1	2ab71d6a1c9e19d9c7c39b444c1a4e4f8a2e9c595c45b006f38d18552afdec99
6143	sp|Q15477|SKI2_HUMAN	Q15477	SKI2	f027d3da302be86a75e865eb14688db15d4a39b6102aa261a892869089ed1183
6144	sp|Q16620|NTRK2_HUMAN	Q16620	NTRK2	5700fd20b890228dc7e812e55ae9c8c398a6acd114445a1139ed0655f81a77ad
6145	sp|Q3SY17|S2552_HUMAN	Q3SY17	S2552	552995e6ca44f73b486d1a5b8a99eb6b3795f4eaf4a0bd36e870a44e120c2c12
6146	sp|Q4V348|Z658B_HUMAN	Q4V348	Z658B	ebccfeba62fdfb175db7099418b5ab2ef067b0a080c13e46e530ca547ec75a0b
6147	sp|Q4VC44|FWCH1_HUMAN	Q4VC44	FWCH1	fbc3b5ffe97201f1330a646ea8114b07df1b1fa7655d45077d7424c4b092643e
6148	sp|Q53EV4|LRC23_HUMAN	Q53EV4	LRC23	d8aebdccb6b6e74d291cae090b8bef7dbeececb9f32da359e8c7a5b8d8b848d0
6149	sp|Q5JSH3|WDR44_HUMAN	Q5JSH3	WDR44	11d6d6c4ecc2f6327452f93ed94308ba990115a9431980c63e74d5d9a92dc962
6150	sp|Q5JZY3|EPHAA_HUMAN	Q5JZY3	EPHAA	7f68b68ae7e9337e6d8f15f2bde1bd6771d05ec6e7487f6f48da0e47a4d1993d
6151	sp|Q5SR56|S71A2_HUMAN	Q5SR56	S71A2	6f03c3ebea8f821b7248f9a85b7ba8c2f85910d6a0d4866aeeb68036bb51965b
6152	sp|Q5TC04|ATAS1_HUMAN	Q5TC04	ATAS1	56c7a9187d6c60cb061c0af1cb47bc501b11d09ef299181be9cef4d07c622d17
6153	sp|Q5ZPR3|CD276_HUMAN	Q5ZPR3	CD276	cfc4df123ba3da6e3b2e07252c3a396aa97265dcb448d12e36a85e241758eda5
6154	sp|Q6P4R8|NFRKB_HUMAN	Q6P4R8	NFRKB	749c870dee2f91e5a7612e3078ada3bde7a017f794bd3a25e68233d944ca3011
6155	sp|Q6QN14|U17L6_HUMAN	Q6QN14	U17L6	7ca071effa4747ec341da3ba9af668fc8b53ae2c5e890ea0431f1d278ea91750
6156	sp|Q6ZNA1|ZN836_HUMAN	Q6ZNA1	ZN836	d62d59d82db079eaf7cccb2808cea709921e3a19c539006a54e09618a99026ee
6157	sp|Q7L3T8|SYPM_HUMAN	Q7L3T8	SYPM	cf6eb1f9cf8d5193a04450b5fad9f87b75ee5090ac521ab70878176150037241
6158	sp|Q7RTW8|OTOAN_HUMAN	Q7RTW8	OTOAN	e8eaeb9f9e9caeecd68f060ac1bea96c167ba32c9b570b6019cbd678ba4c116a
6159	sp|Q86SU0|ILDR1_HUMAN	Q86SU0	ILDR1	7245ef69f7f5ccbb63b6668edad957f17dd7be89598207a5d77b7511a40c519b
6160	sp|Q86T29|ZN605_HUMAN	Q86T29	ZN605	64e3edca8911efdf0ce3402fbe7ea39f176b354851415313ba5bac8fedd4d5fc
6161	sp|Q86VW2|ARHGP_HUMAN	Q86VW2	ARHGP	9df098a97c879d6a9f5c671a7a4ca5f0e81982dc808dce8666969ca292bcbac7
6162	sp|Q8N111|CEND_HUMAN	Q8N111	CEND	2c96043075dd9febf4a0325737bd3270a961c38be94c8bb09ccbb268c854b2ed
6163	sp|Q8ND83|SLAI1_HUMAN	Q8ND83	SLAI1	669697010e026f1f79d7aaa201dbcea6bacb043aa4b4b6855bd7e43687de5fbb
6164	sp|Q8TE73|DYH5_HUMAN	Q8TE73	DYH5	1e64a1d819b9867f7a98159c3f6628b4a00ef4dcb006c6cf8ae487dca507e4cd
6165	sp|Q92904|DAZL_HUMAN	Q92904	DAZL	e6ed422b0769be43fa128ee328a3b01607644d493baff0ea8502c9cd2038795b
6166	sp|Q93075|TATD2_HUMAN	Q93075	TATD2	dfa4ddde8807fa8b843c698f3d52513677907811d1edc9b03669f5107637e813
6167	sp|Q969H6|POP5_HUMAN	Q969H6	POP5	52631af06f55f217e936cbda07484095d280894b0ddc715ab4e35a27e2aa95b1
6168	sp|Q969S6|TM203_HUMAN	Q969S6	TM203	01c2e1a3bb20d4edbfabfca96fbc92dfcb3214949b501aebf5eb7c131b14e08a
6169	sp|Q96FV0|LRC46_HUMAN	Q96FV0	LRC46	d76fdcdd9679b6a57f4bec0950c82ecc1db59ef7255ce553c5f0decd95bd2430
6170	sp|Q96HE9|PRR11_HUMAN	Q96HE9	PRR11	81b0f7529b10d9d9cb99f2dbf00d520dd062de4e53733676d064c231329bb36d
6171	sp|Q96I15|SCLY_HUMAN	Q96I15	SCLY	5c1f511ee849d9a5834680d19840acc5d6c108a82973e89d61adce3c03a43c8a
6172	sp|Q96M43|NBPF4_HUMAN	Q96M43	NBPF4	614eccc47a7b7f886b026b77442afc9bd174d07404e80529563fab5b46ec93a2
6173	sp|Q96MF4|CC140_HUMAN	Q96MF4	CC140	45a1498a35c33577afe7050bb158b46f9cbce3a74f7c2b1057d1d6c2eacd615a
6174	sp|Q96T76|MMS19_HUMAN	Q96T76	MMS19	5e613de7b31053550f78cb84daa545b2ddc417ef0a20ef00cfd8886e4358d05a
6175	sp|Q99459|CDC5L_HUMAN	Q99459	CDC5L	dd73276a874ac8499252e4fe6f7a77ff095b3177c71a809dfcbb2cc928b9e222
6176	sp|Q9BQN1|FA83C_HUMAN	Q9BQN1	FA83C	b8fc88486b12f43f01daa1b10779c4501307830c32040da93282cef750b1a9a8
6177	sp|Q9BT88|SYT11_HUMAN	Q9BT88	SYT11	28271ee3ef3b1547223b59c978a69a8dde662ae2841874a10c04705fad03b65b
6178	sp|Q9BXU3|TX13A_HUMAN	Q9BXU3	TX13A	00e3a1cd1fb2b42d09e9e6432f0620e8f1ba4c381bdbf4dac3fb1e08f86f0267
6179	sp|Q9BYG3|MK67I_HUMAN	Q9BYG3	MK67I	9a6248874a45aba8c617eb7b81e4c8222e356158f7868bfff77d6e698063bb72
6180	sp|Q9BZE1|RM37_HUMAN	Q9BZE1	RM37	c0ec5fa14b3adbf5b9622b0ceeedc71d10fc7dde76fae5892f9a20b46314da4a
6181	sp|Q9C099|LRCC1_HUMAN	Q9C099	LRCC1	056ac92d02d94539124808c522902c3ef2ca2a031d558b9bc8000c2f5745b35f
6182	sp|Q9C0E2|XPO4_HUMAN	Q9C0E2	XPO4	5e65b638403296bbfcdcac25906defd7f781871674a5056ae8aee96dc311de3e
6183	sp|Q9GZT3|SLIRP_HUMAN	Q9GZT3	SLIRP	bba17cdd1730252e1a56dc57d4a3738440eb9d1ba27b92849a665f193573a209
6184	sp|Q9H1X3|DJC25_HUMAN	Q9H1X3	DJC25	744de7fa290653d9e9996a26f8fbe6c9f2164938d8109fb2f4a527dd20aa3907
6185	sp|Q9H3S7|PTN23_HUMAN	Q9H3S7	PTN23	d2cf2952f7c6264121935f96ce136fb8f8caef872b108ff3507a4c45f926d98e
6186	sp|Q9H477|RBSK_HUMAN	Q9H477	RBSK	628db4e4b1cbe217960d5b3d67e6998c11d1ff59559062f22b80582d34f88c69
6187	sp|Q9HAI6|TASL_HUMAN	Q9HAI6	TASL	ecddc132313b53f1389dd1d7e767f288a611684f2b1de7a11bf5846bac786e87
6188	sp|Q9HBG6|IF122_HUMAN	Q9HBG6	IF122	68533522a4a9c9457742993e10cf5a7473529d04be33eda634967fa662003915
6189	sp|Q9HBM6|TAF9B_HUMAN	Q9HBM6	TAF9B	65a5a8efdacc09b291c3c7e8c95edfd0f7ed5a8cc9f187222f753c365674b2cd
6190	sp|Q9HBU6|EKI1_HUMAN	Q9HBU6	EKI1	c76132f513f504d854090cbf287ca655b861c31f0b767a4cea95d911e8effce5
6191	sp|Q9HCT0|FGF22_HUMAN	Q9HCT0	FGF22	867906fbc844261a388c6d57096890ef657bcae0d977b9f353420a70c6bc8ac3
6192	sp|Q9NPG1|FZD3_HUMAN	Q9NPG1	FZD3	7eb2377b4fb4fb54fad64a5891ae343a962eaba39eb3bc05dbc2d6b860a46f2a
6193	sp|Q9NQV6|PRD10_HUMAN	Q9NQV6	PRD10	33e6ccddf77f930db35117aebc31d1d5629468511c9e5be8ceca43520421f469
6194	sp|Q9NRF8|PYRG2_HUMAN	Q9NRF8	PYRG2	7f50e78925797f83da833536ea9c4fb101228706c6e3adb6b168e5303bce7667
6195	sp|Q9NZ56|FMN2_HUMAN	Q9NZ56	FMN2	51526131b62ce1f1fe342da48a3bd70ec585663a27797a3ef5945719f9230e9a
6196	sp|Q9UBU2|DKK2_HUMAN	Q9UBU2	DKK2	830c34a4f672c7e63ee602549759bc43c3059be868a4a59f36cf1e8b36d84af1
6197	sp|Q9UPV7|PHF24_HUMAN	Q9UPV7	PHF24	e0ca8559247e9ff04ea37201881d9b48f0472f839c0b36069a028b469abe716d
6198	sp|Q9Y2Z9|COQ6_HUMAN	Q9Y2Z9	COQ6	3de193abf2bbc7f6fabf9fc3bac04f7d8dc099c3715864386071f66d28668e4a
6199	sp|Q9Y4A0|JERKL_HUMAN	Q9Y4A0	JERKL	d569dfccbd5ea4faa43182fb3796b3bb742f0968f4a4ada945f807ed636694e1
6200	tr|A0A075B709|A0A075B709_HUMAN	A0A075B709	A0A075B709	7b1e0825382638bcbc94168bef2164811da2933400fe8bf8a354dc031b6231f5
6201	sp|A0A1W2PQ09|TFKLK_HUMAN	A0A1W2PQ09	TFKLK	f43c5b1ffe9295c52bbd4814eb0045df47f7186bf422d832b4d99fa415bb9743
6202	sp|A6NIK2|LR10B_HUMAN	A6NIK2	LR10B	292c1b3d9a05db1fbe3d1a8e9a321d325cfa26ae3a4e6022cee341ecabee8aaa
6203	sp|A6QL63|ABTB3_HUMAN	A6QL63	ABTB3	1d414ab2da7fc0ac3953e1ee3b9fd1e753bf9acab142797f3a7bc2c3f86437ff
6204	sp|D6RF30|GOG8K_HUMAN	D6RF30	GOG8K	3dee09d7a42fa641265cbf6b19e72fff9cbbb3d4ba381a599b4a0f1dc216a116
6205	sp|O00499|BIN1_HUMAN	O00499	BIN1	1d6058935c90487d2ec14a0515f815d8c552f628e8cf3c47b4e039dd147848da
6206	sp|O43493|TGON2_HUMAN	O43493	TGON2	cdd27dbf2774c29e6f71ffe63bdb5d7d646daac6596333f85c6681795882f18d
6207	sp|O43586|PPIP1_HUMAN	O43586	PPIP1	ac72c071b70e39e7278f023142f2101331ffc59a604aea612e2af70e1bfaa226
6208	sp|O60512|B4GT3_HUMAN	O60512	B4GT3	c1c730c1203977115cde7873f5d6a6d167c17ddc9925941ad07427bbba8cf23a
6209	sp|O75817|POP7_HUMAN	O75817	POP7	a1ab6c7c0029fa970d2280bd41f036eab279fc9b1946237d9f32fa79d00fe37a
6210	sp|O94759|TRPM2_HUMAN	O94759	TRPM2	3b451726aa88d0701436eccfc06e3c204ee2ed36abb7fcc0bcb1e97a65344514
6211	sp|O95361|TRI16_HUMAN	O95361	TRI16	bafbcc869c53f6ee94c8a48ea00dbbf0ea74ee8c4fafe5c15d375b21e5afe269
6212	sp|O95460|MATN4_HUMAN	O95460	MATN4	9d60686b4d1415127be2def913a83ebc97419fe63dfcac35a5a32a9ac4737973
6213	sp|O95786|RIGI_HUMAN	O95786	RIGI	dac37464055cfa614bde75cdec00d02ba138604a13810cc76bef74a1f50e6c59
6214	sp|P01148|GON1_HUMAN	P01148	GON1	d4aa28a1adba53fb8893d855044591258050196608a0e28fa9c322ad5ee340cc
6215	sp|P02511|CRYAB_HUMAN	P02511	CRYAB	4557576b98b04dc530e744b2dc2bfb6f823bc627818d1530cb6dd234a4f125e5
6216	sp|P0C7T3|O56A5_HUMAN	P0C7T3	O56A5	2cf2d053b0902c3641f6bb8d9b63eee04b9b610760e839220ac84d3e9ac18cad
6217	sp|P0CAT3|TLXNB_HUMAN	P0CAT3	TLXNB	47a0c39cfe97ef6838c477d8aee7d02ba4d7740fefb148b370cded3e66a14990
6218	sp|P0DPQ3|PR20G_HUMAN	P0DPQ3	PR20G	d0c84555db60415043269ae20c857c018509859ee0367d4e091336d6ca3b8d86
6219	sp|P12645|BMP3_HUMAN	P12645	BMP3	1c1bbc9c1c7138e6486fd07acd1d9432c35e72888a1cf987f9449c59ba77d26b
6220	sp|P13385|TDGF1_HUMAN	P13385	TDGF1	375091d9bf2920a45facf50c3dbf18c45569e7fdcadd85f980a3bc9d12a1efad
6221	sp|P17302|CXA1_HUMAN	P17302	CXA1	57ac4ca5808e70e179c865f45cbc931a716b9e7786f80621bea69292f074948e
6222	sp|P23246|SFPQ_HUMAN	P23246	SFPQ	5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa
6223	sp|P23610|HAP40_HUMAN	P23610	HAP40	f6f53a5a5219007ec48e75551b596361d80819a40387e02421d9c2de0be7c7e4
6224	sp|P26440|IVD_HUMAN	P26440	IVD	c6756548a52fc2a4e04fae33d203a08f65db21192f32d1a937d61e25f8d56e51
6225	sp|P31944|CASPE_HUMAN	P31944	CASPE	0e067e7e96dba1e520fba5e7843dc3fa3801fd2c803a88ace166ab8a28d5c3cb
6226	sp|P32320|CDD_HUMAN	P32320	CDD	6bac7f2ffc270dc95b451aae54c85ce01ab5e4f15f7ced5e397d76fe1501dea2
6227	sp|P35270|SPRE_HUMAN	P35270	SPRE	7c55ee43c37889316e5370901574acd09d90d5e8cbf1519a820c936face59ee5
6228	sp|P43357|MAGA3_HUMAN	P43357	MAGA3	2144e0047f0cd67d310fa25f966fc8a76354fb49c104060a2986dabeb21defc2
6229	sp|P52756|RBM5_HUMAN	P52756	RBM5	83fff9e7321f503d1218bfc29e477268abb7de30e56a53a10ba3cf805b2fae6b
6230	sp|P59022|DSC10_HUMAN	P59022	DSC10	59628f38d959bca399fde3ea637d41d37b57056b0ce975df546ecb504a45d5f6
6231	sp|P81133|SIM1_HUMAN	P81133	SIM1	e6903c9def68639cbe96507624e684d610edd595db802ed3fd921d5cfa00f262
6232	sp|Q06265|EXOS9_HUMAN	Q06265	EXOS9	b3d1d84477d13dc024e185c19bc5aed43d83ef03db9653b13bbb7591b80bd1ab
6233	sp|Q06495|NPT2A_HUMAN	Q06495	NPT2A	aa1530a8929606763bde9d53a8f313d452ff438933c54b93af0bac7d0a541093
6234	sp|Q12912|IRAG2_HUMAN	Q12912	IRAG2	62e3bdf25049df67374c4eed4f3808d9a803c38a922576e409e9fd7cc730d486
6235	sp|Q13123|RED_HUMAN	Q13123	RED	f51a5be4cb0308a2821d016426f4322a939461ee510911cf64ac4dc308eb70d8
6236	sp|Q13451|FKBP5_HUMAN	Q13451	FKBP5	af987650896002d008d596b93aa829ede1afa3e3b9ed769b9a8f70afd7be25d0
6237	sp|Q13614|MTMR2_HUMAN	Q13614	MTMR2	736a6deb04093a15ea58af8a7e02a771f719138621d8a2107bec1a19fe2db4c4
6238	sp|Q15233|NONO_HUMAN	Q15233	NONO	fd19b5ff83afac35c7eb51d5e79d6991972944391afa5d875bf60ac155f40089
6239	sp|Q15782|CH3L2_HUMAN	Q15782	CH3L2	a02005e820e1cab118fbdb312c3308357d9769d74d35e84f37d560461bff01fc
6240	sp|Q16617|NKG7_HUMAN	Q16617	NKG7	f93a972acffe2ad82f26bc18fc91554588e609715a63e56f63a3fe82d55206ee
6241	sp|Q2MV58|TECT1_HUMAN	Q2MV58	TECT1	855f7868cb070c0f043086b1447782e5b2da87ef3e61e56cfa11757729f38511
6242	sp|Q5H9J9|T11X2_HUMAN	Q5H9J9	T11X2	3a61643956b078f0cb2d5bace2d239b855fea3873ea40330f19894c19f770090
6243	sp|Q5HYI7|MTX3_HUMAN	Q5HYI7	MTX3	203d53a052e58053d440094a849fe494ced4b2c65c5cd8ee74ab19f902b78aff
6244	sp|Q5T655|CFA58_HUMAN	Q5T655	CFA58	10300a4daf30c3eab1567ab03dd4738ee371d379e1be0fb8e49177655cec0fa3
6245	sp|Q5TBE3|CI153_HUMAN	Q5TBE3	CI153	31221d1d769763a0ba42cb7f0c68d63fa10db289de608118db2d5c59130b25bf
6246	sp|Q5VSP4|LC1L1_HUMAN	Q5VSP4	LC1L1	1a57cd3679110f3a4016e6c130353b748c858a7cb80af21ec1447b432d1804a3
6247	sp|Q68DQ2|CRBG3_HUMAN	Q68DQ2	CRBG3	fce668c932fe41a76c3e635b818e5311e668b5b3cfe53d2de09a2264014e31c4
6248	sp|Q68DY1|ZN626_HUMAN	Q68DY1	ZN626	6e26c4123e98e33b2e24f46cd68c3302570280876558b20161437ef7b0917273
6249	sp|Q6NXE6|ARMC6_HUMAN	Q6NXE6	ARMC6	4f879f8f099f899553a8c8cf46460b62c9d257b32f0de363cdf136a0c6471ff7
6250	sp|Q6PDA7|SG11A_HUMAN	Q6PDA7	SG11A	5ce26637ef00d0dc7a813e0817d6ba0eb3a82c31be518c3294c1b86769d5f002
6251	sp|Q7Z2Y5|NRK_HUMAN	Q7Z2Y5	NRK	12477511931c96a0af40ceb0979c0b6df102706af2c61265a419fadcb9001e3d
6252	sp|Q7Z7L9|ZSCA2_HUMAN	Q7Z7L9	ZSCA2	15605fb83261ecdf334a05b21500f79c623dd32d23a5732af392951d25e8225b
6253	sp|Q86UD4|ZN329_HUMAN	Q86UD4	ZN329	aab93edc0ff859ce6ff7571edbe6f75b4ff1d70d729511cdaba4f81274c338b6
6254	sp|Q86XR5|PRIMA_HUMAN	Q86XR5	PRIMA	226056207d65262e4fb42cd973235d86a0bae89d9b906cdc86f367b5c63c8bff
6255	sp|Q8IUX7|AEBP1_HUMAN	Q8IUX7	AEBP1	d1a3c6589d8c6488e4db5e255a91fbaed4cba2178b7d98e9652a3532ab7e8757
6256	sp|Q8N4W6|DJC22_HUMAN	Q8N4W6	DJC22	1ac5c36605b6c2c0764c28e94fc8145e84954c07bab1870bb4f02d8ea79b6d88
6257	sp|Q8N9N5|BANP_HUMAN	Q8N9N5	BANP	f187be83f4e7d2d080b8f80983d1d579ce138c08bee711c82ad4c41085f9ff32
6258	sp|Q8NBE8|KLH23_HUMAN	Q8NBE8	KLH23	e57204ab8c76eaf5683f8b3822d59633df9cba93ee11f6d6bd68abcaa7c208ea
6259	sp|Q8NHS0|DNJB8_HUMAN	Q8NHS0	DNJB8	fbfa2cf20237e38fe255a15ab538d4f9d5ff94e163b97e0dff04ab222619f433
6260	sp|Q8TAV3|CP2W1_HUMAN	Q8TAV3	CP2W1	eeb666febf7ab51317422e0d871b59d395f3c4ea2ee6a77181e1389b4360bcbe
6261	sp|Q8WV37|ZN480_HUMAN	Q8WV37	ZN480	4f0687e3b11a148d187bff561ab8e2f6e81fcee50ffcf64754b7fe698e4db8ec
6262	sp|Q8WXG6|MADD_HUMAN	Q8WXG6	MADD	e1bd764b0f7566dd4148cda305dd8be8c9a43413703f412559e0635f11ab77d8
6263	sp|Q8WZ55|BSND_HUMAN	Q8WZ55	BSND	696f5806a7395c73401153dee06dffe5aa1d467f7490aebdc58fcf7e195326a4
6264	sp|Q92826|HXB13_HUMAN	Q92826	HXB13	c966d8aeecb267f4e3fd46a0f38b384878107aa39e67e479757c7cc70f9c43f7
6265	sp|Q92985|IRF7_HUMAN	Q92985	IRF7	d9536ecba6dbbb478000b1f72afe6e945abc824f0fb1a16312036c56479d7423
6266	sp|Q96HT8|MR1L1_HUMAN	Q96HT8	MR1L1	2349f38c6cc6c1ceec66363fb3d1c7378f0b841695f10d27f9dad0505ddd986a
6267	sp|Q96JG8|MAGD4_HUMAN	Q96JG8	MAGD4	5585b575c85e878af492004a5b53ecee1bcb3563e3737f402278e1ffd76a56eb
6268	sp|Q96KW9|SPAC7_HUMAN	Q96KW9	SPAC7	e87a54f94f88e5fe88411aa7ae543108872aeddc9b78cb3621c3b67e4e31d472
6269	sp|Q96ME7|ZN512_HUMAN	Q96ME7	ZN512	9456cb804ee1c36fe58c325c2f484c7670e1db69eaac7880152eff4723b2b870
6270	sp|Q96MT8|CEP63_HUMAN	Q96MT8	CEP63	b8331c9d9a0932943f3e870aff5093c941b335a7f72d2d0a45d6bc75671f5c01
6271	sp|Q96P53|WDFY2_HUMAN	Q96P53	WDFY2	a132f2aadf343d5f1b1353d4be9592bf6216f673301380f3a85991afa9458bb9
6272	sp|Q96PQ5|IPP2L_HUMAN	Q96PQ5	IPP2L	1775c0d17280e380470a3072fa98e7be29f93b75b652e7632f337788bbf4088a
6273	sp|Q99714|HCD2_HUMAN	Q99714	HCD2	37892504ee980fd328015aac25738a4d34825fdaadf3d8521ffd2b32fb46269a
6274	sp|Q9BT81|SOX7_HUMAN	Q9BT81	SOX7	eeef1badbcf7b683f41eca2901d8a927ca638ef761be24f3f2d5fdc97532be9d
6275	sp|Q9BU79|TM243_HUMAN	Q9BU79	TM243	d19137d9ec7c627a5ea1eb1e3c386b8a66dd3b3730abfc7daaadcbcbd2ef7d78
6276	sp|Q9BX40|LS14B_HUMAN	Q9BX40	LS14B	f706df47488d4591a071bb0e8dbe0717214e7bf7553b10e74b866edbeaefffba
6277	sp|Q9BX68|HINT2_HUMAN	Q9BX68	HINT2	f4517aaf05924d30a2cabd171961c994ba0a5d1a58256e01220043d030c9ff7f
6278	sp|Q9BXE9|VN1R3_HUMAN	Q9BXE9	VN1R3	a40d84a3ce8991bd2fdd707e3e06f9731702a88a7161c7ba3706c14d0809b5ae
6279	sp|Q9BY66|KDM5D_HUMAN	Q9BY66	KDM5D	ec11e17402bc7e1f6a2f7693e4209fbd8a2598172b926cedd80e4c8ca72d01d2
6280	sp|Q9BYE4|SPR2G_HUMAN	Q9BYE4	SPR2G	c8b937c59765124304e8efae590edff684f59982d388a298f24fbb4cb815429f
6281	sp|Q9C0B2|CFA74_HUMAN	Q9C0B2	CFA74	5c4a805dba7602c953b3639f3518fa85299addb814205edf26515eb573c47847
6282	sp|Q9H078|CLPB_HUMAN	Q9H078	CLPB	438a53cdb4460e114a0b57e0f97381c4e3b6c56f0a5dbf6fcd256c46df34ead0
6283	sp|Q9H156|SLIK2_HUMAN	Q9H156	SLIK2	9b59f7fd666c59ef695928f5b960e7e7e65d44dbccd7adb0c002e52fd0d2f4b4
6284	sp|Q9H2L5|RASF4_HUMAN	Q9H2L5	RASF4	88f2822243bd1a01de96f1be9e300f4dc6e2160bd282ba2f043da4bf515fe470
6285	sp|Q9H425|CA198_HUMAN	Q9H425	CA198	d7ef281fa57d44ac4a6d93ceaf42f11427b65bad452293ff27b994cdc8b06869
6286	sp|Q9H6Y5|MAGIX_HUMAN	Q9H6Y5	MAGIX	4281be56bc624ff31e568ff75b161130d1d3ee9fbe76b4ab07969688de5d7905
